bioguide,title,chamber,start,end
K000367,Senate Democratic Steering Committee Chair,senate,'2019-01-03',
S000770,Senate Democratic Policy & Communications Committee Chair,senate,'2019-01-03',
B001261,Senate Republican Conference Chair,senate,'2019-01-03',
C001056,Senate Minority Whip,senate,'2013-01-03','2015-01-03'
C001056,Senate Majority Whip,senate,'2015-01-03','2017-01-03'
C001056,Senate Majority Whip,senate,'2017-01-03','2019-01-03'
D000563,Senate Minority Whip,senate,'2005-01-04','2007-01-03'
D000563,Senate Majority Whip,senate,'2007-01-04','2009-01-06'
D000563,Senate Majority Whip,senate,'2009-01-06','2011-01-05'
D000563,Senate Majority Whip,senate,'2011-01-05','2013-01-03'
D000563,Senate Majority Whip,senate,'2013-01-03','2015-01-03'
D000563,Senate Minority Whip,senate,'2015-01-03','2017-01-03'
D000563,Senate Minority Whip,senate,'2017-01-03','2019-01-03'
D000563,Senate Minority Whip,senate,'2019-01-03',
M000355,Senate Minority Leader,senate,'2007-01-04','2009-01-06'
M000355,Senate Minority Leader,senate,'2009-01-06','2011-01-05'
M000355,Senate Minority Leader,senate,'2011-01-05','2013-01-03'
M000355,Senate Minority Leader,senate,'2013-01-03','2015-01-03'
M000355,Senate Majority Leader,senate,'2015-01-03','2017-01-03'
M000355,Senate Majority Leader,senate,'2017-01-03','2019-01-03'
M000355,Senate Majority Leader,senate,'2019-01-03',
B000575,Senate Republican Policy Committee Chair,senate,'2019-01-03',
C000537,House Majority Whip,house,'2019-01-03',
G000386,President Pro Tempore of the Senate,senate,'2019-01-03',
H000874,House Minority Whip,house,'2003-01-07','2005-01-03'
H000874,House Minority Whip,house,'2005-01-04','2007-01-03'
H000874,House Minority Whip,house,'2011-01-05','2013-01-03'
H000874,House Minority Whip,house,'2013-01-03','2015-01-03'
H000874,House Minority Whip,house,'2015-01-06','2017-01-03'
H000874,House Minority Whip,house,'2017-01-03','2019-01-03'
H000874,House Majority Leader,house,'2019-01-03',
L000570,Assistant Speaker of the House,house,'2019-01-03',
M001165,House Majority Whip,house,'2011-01-05','2013-01-03'
M001165,House Majority Whip,house,'2013-01-03','2014-07-31'
M001165,House Majority Leader,house,'2014-08-01','2015-01-03'
M001165,House Majority Leader,house,'2015-01-06','2017-01-03'
M001165,House Majority Leader,house,'2017-01-03','2019-01-03'
M001165,House Minority Leader,house,'2019-01-03',
M001111,Assistant Senate Minority Leader,senate,'2019-01-03',
P000197,House Minority Leader,house,'2011-01-05','2013-01-03'
P000197,House Minority Leader,house,'2013-01-03','2015-01-03'
P000197,House Minority Leader,house,'2015-01-06','2017-01-03'
P000197,House Minority Leader,house,'2017-01-03','2019-01-03'
P000197,Speaker of the House,house,'2019-01-03',
S001176,House Majority Whip,house,'2014-08-01','2015-01-03'
S001176,House Majority Whip,house,'2015-01-06','2017-01-03'
S001176,House Majority Whip,house,'2017-01-03','2019-01-03'
S001176,House Minority Whip,house,'2019-01-03',
S000148,Senate Minority Leader,senate,'2017-01-03','2019-01-03'
S000148,Senate Minority Leader,senate,'2019-01-03',
T000250,Assistant Senate Majority Leader,senate,'2019-01-03',
J000294,House Democratic Caucus Chair,house,'2019-01-03',
P000609,House Republican Policy Committee Chair,house,'2019-01-03',
E000295,Senate Republican Conference Vice Chair,senate,'2019-01-03',
C001109,House Republican Conference Chair,house,'2019-01-03',
