bioguide,name_fam,relation
B001265,Nicholas J. Begich,son
H001049,Lawton M. Chiles Jr.,niece
L000261,Sander Martin Levin,brother
P000590,David H. Pryor,son
R000361,Nelson Aldrich Rockefeller,nephew
R000361,Nelson Aldrich,great grandson
R000361,Charles Harting Percy,son in law
U000038,Morris K. Udall,son
U000038,Thomas Udall,cousin
U000038,Stewart Lee Udall,nephew
U000038,Gordon H. Smith,cousin
D000355,John David Dingell,son
H001032,Rush D. Holt,son
C001036,Walter Capps,wife
F000456,Henry Clay,relative
F000456,James Brown Clay,relative
M000689,Daniel Andrew Mica,brother
S000030,Linda Sanchez,sister
D000533,John James Duncan,son
F000372,Peter Hood Ballantine Frelinghuysen Jr.,son
F000372,Frederick Frelinghuysen,great great grandson
F000372,Theodore Frelinghuysen,great great great nephew
L000263,Carl Levin,brother
S001154,E. G. ?Bud? Shuster,son
T000465,Paul Tsongas,wife
J000255,Walter Beaman Jones Sr.,son
H001048,Duncan Lee Hunter,son
